Accession	Length	Clade	Isolate	loc	Collection_Date	Host	clade_simple	fragment	cluster
GU798678	639	AL_Cosmopolitan_AF1a	8727TUN/1986	Tunisia	1986	Homo sapiens	Cosmopolitan_Clade	G	5272
GU798683	641	AL_Cosmopolitan_AF1a	08228ALG/2002	Algeria	2002	Ovis	Cosmopolitan_Clade	G	0
GU798708	639	AL_Cosmopolitan_AF1a	08113MAR/2007	Morocco	2007	Felis silvestris catus	Cosmopolitan_Clade	G	6041
GU798715	639	AL_Cosmopolitan_AF1a	09005MAR/2004	Morocco	2004	Homo sapiens	Cosmopolitan_Clade	G	0
GU798718	639	AL_Cosmopolitan_AF1a	08201ALG/2008	Algeria	2008	Canis lupus familiaris	Cosmopolitan_Clade	G	0
GU798719	639	AL_Cosmopolitan_AF1a	08188ALG/2008	Algeria	2008	Canis lupus familiaris	Cosmopolitan_Clade	G	0
GU798720	640	AL_Cosmopolitan_AF1a	08005MAR/2007	Morocco	2007	Equus	Cosmopolitan_Clade	G	0
GU798722	640	AL_Cosmopolitan_AF1a	08322MAR/2008	Morocco	2008	Canis lupus familiaris	Cosmopolitan_Clade	G	6411
GU798726	640	AL_Cosmopolitan_AF1a	08102MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	G	6413
GU798773	639	AL_Cosmopolitan_AF1a	08045MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	G	6371
GU798785	639	AL_Cosmopolitan_AF1a	08090MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	G	6339
GU798814	640	AL_Cosmopolitan_AF1a	08304MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	G	6420
GU798825	639	AL_Cosmopolitan_AF1a	08098MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	G	6401
GU798828	639	AL_Cosmopolitan_AF1a	08106MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	G	0
GU798829	639	AL_Cosmopolitan_AF1a	8678MAR/1986	Morocco	1986	Homo sapiens	Cosmopolitan_Clade	G	0
GU798834	641	AL_Cosmopolitan_AF1a	08084MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	G	6044
GU798840	639	AL_Cosmopolitan_AF1a	08243ALG/2003	Algeria	2003	Bos taurus	Cosmopolitan_Clade	G	6057
GU798841	640	AL_Cosmopolitan_AF1a	08139ALG/2007	Algeria	2007	Canis lupus familiaris	Cosmopolitan_Clade	G	0
GU798843	639	AL_Cosmopolitan_AF1a	08061MAR/2007	Morocco	2007	Equus asinus	Cosmopolitan_Clade	G	6055
GU798844	639	AL_Cosmopolitan_AF1a	08239ALG/2003	Algeria	2003	Ovis	Cosmopolitan_Clade	G	0
GU798845	639	AL_Cosmopolitan_AF1a	08067MAR/2007	Morocco	2007	Equus asinus	Cosmopolitan_Clade	G	0
GU798878	639	AL_Cosmopolitan_AF1a	08221ALG/2002	Algeria	2002	Canis lupus familiaris	Cosmopolitan_Clade	G	5868
GU798948	640	AL_Cosmopolitan_AF1a	08212ALG/2001	Algeria	2001	Bos taurus	Cosmopolitan_Clade	G	6068
GU798109	1350	AL_Cosmopolitan_AF1a	08228ALG/2002	Algeria	2002	Ovis	Cosmopolitan_Clade	N	5687
GU798117	1350	AL_Cosmopolitan_AF1a	08314MAR/2008	Morocco	2008	Canis lupus familiaris	Cosmopolitan_Clade	N	5960
GU798127	1350	AL_Cosmopolitan_AF1a	08116MAR/2006	Morocco	2006	Canis lupus familiaris	Cosmopolitan_Clade	N	6003
GU798138	1350	AL_Cosmopolitan_AF1a	08104MAR/2007	Morocco	2007	Ovis	Cosmopolitan_Clade	N	6109
GU798141	1350	AL_Cosmopolitan_AF1a	09005MAR/2004	Morocco	2004	Homo sapiens	Cosmopolitan_Clade	N	5636
GU798143	1350	AL_Cosmopolitan_AF1a	08306MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	N	0
GU798144	1350	AL_Cosmopolitan_AF1a	08201ALG/2008	Algeria	2008	Canis lupus familiaris	Cosmopolitan_Clade	N	0
GU798145	1350	AL_Cosmopolitan_AF1a	08188ALG/2008	Algeria	2008	Canis lupus familiaris	Cosmopolitan_Clade	N	0
GU798157	1350	AL_Cosmopolitan_AF1a	08007MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	N	6149
GU798191	1350	AL_Cosmopolitan_AF1a	08307MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	N	6163
GU798243	1350	AL_Cosmopolitan_AF1a	08097MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	N	6213
GU798249	1350	AL_Cosmopolitan_AF1a	08099MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	N	6218
GU798250	1350	AL_Cosmopolitan_AF1a	08087MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	N	6220
GU798252	1350	AL_Cosmopolitan_AF1a	08342MAR/2008	Morocco	2008	Canis lupus familiaris	Cosmopolitan_Clade	N	6329
GU798253	1350	AL_Cosmopolitan_AF1a	08096MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	N	0
GU798257	1350	AL_Cosmopolitan_AF1a	08018MAR/2007	Morocco	2007	Equus asinus	Cosmopolitan_Clade	N	5588
GU798261	1350	AL_Cosmopolitan_AF1a	08200ALG/2008	Algeria	2008	Homo sapiens	Cosmopolitan_Clade	N	0
GU798266	1350	AL_Cosmopolitan_AF1a	08243ALG/2003	Algeria	2003	Bos taurus	Cosmopolitan_Clade	N	0
GU798267	1350	AL_Cosmopolitan_AF1a	08139ALG/2007	Algeria	2007	Canis lupus familiaris	Cosmopolitan_Clade	N	0
GU798270	1350	AL_Cosmopolitan_AF1a	08239ALG/2003	Algeria	2003	Ovis	Cosmopolitan_Clade	N	0
GU798271	1350	AL_Cosmopolitan_AF1a	08067MAR/2007	Morocco	2007	Equus asinus	Cosmopolitan_Clade	N	5634
GU798286	1350	AL_Cosmopolitan_AF1a	08199ALG/2008	Algeria	2008	Capra	Cosmopolitan_Clade	N	5707
GU798297	1350	AL_Cosmopolitan_AF1a	9618ALG/1996	Algeria	1996	Homo sapiens	Cosmopolitan_Clade	N	5695
GU798298	1350	AL_Cosmopolitan_AF1a	9137ALG/1991	Algeria	1991	-	Cosmopolitan_Clade	N	0
GU798343	1350	AL_Cosmopolitan_AF1a	08210ALG/2001	Algeria	2001	Canis lupus familiaris	Cosmopolitan_Clade	N	5742
GU798367	1350	AL_Cosmopolitan_AF1a	08198ALG/2008	Algeria	2008	Canis lupus familiaris	Cosmopolitan_Clade	N	5793
GU798370	1350	AL_Cosmopolitan_AF1a	08134ALG/2007	Algeria	2007	Canis lupus familiaris	Cosmopolitan_Clade	N	5694
GU815997	502	AL_Africa-2	9026CI	Côte d'Ivoire	1990	Canis familiaris	AL_Africa-2	L	0
FJ465385	1575	AL_Africa-3	22/01	South Africa	2001	feline	AL_Africa-3	G	0
FJ465386	1575	AL_Africa-3	23/01	South Africa	2001	Felis catus	AL_Africa-3	G	5026
FJ465408	1575	AL_Africa-3	22107	Zimbabwe	1994	Galerella sanguinea	AL_Africa-3	G	0
FJ392367	1353	AL_Africa-3	22/01	South Africa	2001	feline	AL_Africa-3	N	0
FJ392369	1353	AL_Africa-3	28/00	South Africa	2000	Galerella sanguinea	AL_Africa-3	N	5005
FJ392384	1353	AL_Africa-3	485/94	South Africa	1994	Felis catus	AL_Africa-3	N	0
FJ392391	1353	AL_Africa-3	22107	Zimbabwe	1994	Galerella sanguinea	AL_Africa-3	N	0
GQ918301	592	AL_Cosmopolitan_AF1b	133.83	South Africa	1983	Canis lupus familiaris	Cosmopolitan_Clade	G	0
GQ918302	592	AL_Cosmopolitan_AF1b	133.92	South Africa	1992	Canis lupus familiaris	Cosmopolitan_Clade	G	7711
GQ918313	592	AL_Cosmopolitan_AF1b	147.83	South Africa	1983	-	Cosmopolitan_Clade	G	0
GQ918318	592	AL_Cosmopolitan_AF1b	151.86	South Africa	1986	Canis lupus familiaris	Cosmopolitan_Clade	G	0
GQ918321	592	AL_Cosmopolitan_AF1b	156.99	South Africa	1999	Canis lupus familiaris	Cosmopolitan_Clade	G	7799
GQ918326	592	AL_Cosmopolitan_AF1b	165.93	South Africa	1993	Canis lupus familiaris	Cosmopolitan_Clade	G	7892
GQ983401	592	AL_Cosmopolitan_AF1b	198.01	South Africa	2001	Canis lupus familiaris	Cosmopolitan_Clade	G	7771
GQ983402	592	AL_Cosmopolitan_AF1b	199.02	South Africa	2002	Canis lupus familiaris	Cosmopolitan_Clade	G	0
GQ983454	592	AL_Cosmopolitan_AF1b	288.03	South Africa	2003	Canis lupus familiaris	Cosmopolitan_Clade	G	7714
GQ983503	592	AL_Cosmopolitan_AF1b	452.87	South Africa	1987	Canis lupus familiaris	Cosmopolitan_Clade	G	7895
GQ983522	592	AL_Cosmopolitan_AF1b	64.94	South Africa	1994	Canis lupus familiaris	Cosmopolitan_Clade	G	0
FJ947007	405	AL_Cosmopolitan_AF1a	RV1552	Sudan	1992	Capra hircus	Cosmopolitan_Clade	N	0
FJ947013	405	AL_Cosmopolitan_AF1a	RV1621	Sudan	1996	Capra hircus	Cosmopolitan_Clade	N	5318
FJ947027	405	AL_Cosmopolitan_AF1a	RV1771	Sudan	2004	camel	Cosmopolitan_Clade	N	0
AB505874	203	AL_Cosmopolitan_AF1b		Uganda	2003	Canis lupus familiaris	Cosmopolitan_Clade	N	0
AB505881	203	AL_Cosmopolitan_AF1a		Uganda	2003	Capra	Cosmopolitan_Clade	N	5342
FJ842723	592	AL_Cosmopolitan_AF1b	d651/08	South Africa	2008	Canis familiaris	Cosmopolitan_Clade	G	7759
FJ842726	590	AL_Cosmopolitan_AF1b	d652/08	South Africa	2008	Canis familiaris	Cosmopolitan_Clade	G	0
FJ842728	592	AL_Cosmopolitan_AF1b	d666/08	South Africa	2008	Canis familiaris	Cosmopolitan_Clade	G	7730
FJ842737	592	AL_Cosmopolitan_AF1b	b571/07	South Africa	2007	Bos taurus	Cosmopolitan_Clade	G	7701
FJ842741	592	AL_Cosmopolitan_AF1b	d64/07	South Africa	2007	Canis familiaris	Cosmopolitan_Clade	G	7596
FJ842750	592	AL_Cosmopolitan_AF1b	d491/07	South Africa	2007	Canis familiaris	Cosmopolitan_Clade	G	7746
FJ842754	592	AL_Cosmopolitan_AF1b	d1118/07	South Africa	2007	Canis familiaris	Cosmopolitan_Clade	G	0
FJ842758	592	AL_Cosmopolitan_AF1b	d523/08	South Africa	2008	Canis familiaris	Cosmopolitan_Clade	G	7754
FJ842762	592	AL_Cosmopolitan_AF1b	d548/08	South Africa	2008	Canis familiaris	Cosmopolitan_Clade	G	0
FJ842763	592	AL_Cosmopolitan_AF1b	d85/04	Swaziland	2004	Canis familiaris	Cosmopolitan_Clade	G	0
EU982551	593	AL_Africa-3	27988	Zimbabwe	2001	Civettictis civetta (African civet)	AL_Africa-3	G	5013
EU888647	400	AL_Africa-2	RD10/07	Nigeria	2007	Canis familiaris	AL_Africa-2	N	4556
EU888656	400	AL_Africa-2	RD30/07	Nigeria	2007	Canis familiaris	AL_Africa-2	N	0
EU888660	400	AL_Africa-2	RD44/07	Nigeria	2007	Canis familiaris	AL_Africa-2	N	4662
EU888679	400	AL_Africa-2	RD77/07	Nigeria	2007	Canis familiaris	AL_Africa-2	N	0
EU888729	400	AL_Africa-2	13136/89	Nigeria	1989	Canis familiaris	AL_Africa-2	N	4283
EU888734	592	AL_Africa-2	RD11/07	Nigeria	2007	Canis familiaris	AL_Africa-2	G	4778
EU888735	592	AL_Africa-2	RD14/07	Nigeria	2007	Canis familiaris	AL_Africa-2	G	4841
EU888743	592	AL_Africa-2	RD44/07	Nigeria	2007	Canis familiaris	AL_Africa-2	G	0
EU888754	592	AL_Africa-2	RD71/07	Nigeria	2007	Canis familiaris	AL_Africa-2	G	4766
EU888790	593	AL_Africa-2	RD173/06	Nigeria	2006	Canis familiaris	AL_Africa-2	G	4272
FJ440104	1350	AL_Cosmopolitan_AF1a		Equatorial Guinea	2008	Homo sapiens	Cosmopolitan_Clade	N	0
EU643577	343	AL_Cosmopolitan_AF1a	DogTN/Sz03	Tunisia	2003	Canis familiaris	Cosmopolitan_Clade	N	5611
EU643587	343	AL_Cosmopolitan_AF1a	DogTN/Ks98	Tunisia	1998	Canis familiaris	Cosmopolitan_Clade	N	0
FJ545660	1575	AL_Africa-2	SierraLeonne.07208SL/1997	Sierra Leone	1997	Felis catus	AL_Africa-2	G	0
FJ545662	1575	AL_Africa-2	CentralAfRep.070149RCA/2004	Central African Republic	2004	Canis familiaris	AL_Africa-2	G	0
FJ545664	1575	AL_Africa-2	Mauritania.8689MAU/1986	Mauritania	1986	camel	AL_Africa-2	G	0
FJ545666	1575	AL_Africa-2	Senegal.07197SEN/1995	Senegal	1995	Canis familiaris	AL_Africa-2	G	0
FJ545668	1575	AL_Africa-2	Mali.07226MALI/2007	Mali	2007	Canis familiaris	AL_Africa-2	G	0
FJ545669	1575	AL_Africa-2	Mali.07217MALI/2007	Mali	2007	Canis familiaris	AL_Africa-2	G	4763
FJ545674	1575	AL_Africa-2	Niger.8718NIG/1987	Niger	1987	Canis familiaris	AL_Africa-2	G	0
FJ545677	1575	AL_Africa-2	IvoryCoast.8913IC/1989	Côte d'Ivoire	1989	Canis familiaris	AL_Africa-2	G	0
FJ545678	1575	AL_Africa-2	Niger.9012NIG/1990	Niger	1990	Canis familiaris	AL_Africa-2	G	0
FJ545679	1575	AL_Africa-2	Niger.9014NIG/1990	Niger	1990	Canis familiaris	AL_Africa-2	G	0
FJ545681	1575	AL_Africa-2	IvoryCoast.9026IC/1990	Côte d'Ivoire	1990	Canis familiaris	AL_Africa-2	G	0
FJ545683	1575	AL_Africa-2	Chad.9218TCH/1992	Chad	1992	Canis familiaris	AL_Africa-2	G	0
EU853566	1353	AL_Cosmopolitan_AF1a	86129TUN	Tunisia	1986	Homo sapiens	Cosmopolitan_Clade	N	0
EU853569	1353	AL_Cosmopolitan_AF1a	9016MAR	Morocco	1990	Canis familiaris	Cosmopolitan_Clade	N	6038
EU853571	1353	AL_Cosmopolitan_AF1a	9108MAR	Morocco	1991	Homo sapiens	Cosmopolitan_Clade	N	5958
EU853582	1353	AL_Cosmopolitan_AF1b	94289RWD	Rwanda	1995	Canis familiaris	Cosmopolitan_Clade	N	6684
EU853583	1353	AL_Cosmopolitan_AF1b	9027BUR	Burundi	1990	jackal	Cosmopolitan_Clade	N	0
EU853591	1353	AL_Africa-2	08561GMB	Gambia	2008	Canis familiaris	AL_Africa-2	N	0
EU853592	1353	AL_Africa-2	07023SEN	Senegal	2005	Homo sapiens	AL_Africa-2	N	0
EU853593	1353	AL_Africa-2	8659GUI	Guinea	1986	Canis familiaris	AL_Africa-2	N	0
EU853594	1353	AL_Africa-2	9361GUI	Guinea	1993	Canis familiaris	AL_Africa-2	N	0
EU853595	1353	AL_Africa-2	07208SL	Sierra Leone	1997	Felis catus	AL_Africa-2	N	0
EU853602	1353	AL_Africa-2	07233MAL	Mali	2006	Canis familiaris	AL_Africa-2	N	4794
EU853606	1353	AL_Africa-2	9311MAU	Mauritania	1993	Canis familiaris	AL_Africa-2	N	0
EU853610	1353	AL_Africa-2	9314MAU	Mauritania	1993	Canis familiaris	AL_Africa-2	N	4786
EU853612	1353	AL_Africa-2	07214MAL	Mali	2007	Canis familiaris	AL_Africa-2	N	0
EU853613	1353	AL_Africa-2	9133MAU	Mauritania	1992	Equus asinus	AL_Africa-2	N	0
EU853615	1353	AL_Africa-2	07059IC	Côte d'Ivoire	2007	Canis familiaris	AL_Africa-2	N	0
EU853616	1353	AL_Africa-2	8911IC	Côte d'Ivoire	1989	Canis familiaris	AL_Africa-2	N	4828
EU853620	1353	AL_Africa-2	07222MAL	Mali	2007	Canis familiaris	AL_Africa-2	N	0
EU853621	1353	AL_Africa-2	8913IC	Côte d'Ivoire	1989	Canis familiaris	AL_Africa-2	N	0
EU853624	1353	AL_Africa-2	9120MAU	Mauritania	1991	dromadery	AL_Africa-2	N	0
EU853625	1353	AL_Africa-2	07197SEN	Senegal	1995	Canis familiaris	AL_Africa-2	N	4715
EU853642	1353	AL_Africa-2	9136MAU	Mauritania	1991	Capra hircus	AL_Africa-2	N	4716
EU853645	1353	AL_Africa-2	9547HAV	Burkina Faso	1995	Canis familiaris	AL_Africa-2	N	4652
EU853648	1353	AL_Africa-2	9011NIG	Niger	1990	Canis familiaris	AL_Africa-2	N	4632
EU853649	1353	AL_Africa-2	9013NIG	Niger	1990	Canis familiaris	AL_Africa-2	N	0
EU853650	1353	AL_Africa-2	8718NIG	Niger	1987	Canis familiaris	AL_Africa-2	N	0
EU853654	1353	AL_Africa-2	9014NIG	Niger	1990	Canis familiaris	AL_Africa-2	N	0
EU853655	1353	AL_Africa-2	8732TCH	Chad	1987	Canis familiaris	AL_Africa-2	N	4278
EU827270	1350	AL_Africa-2	21BF/2007	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	0
EU827273	1350	AL_Africa-2	124BF/2007	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	4620
EU827275	1350	AL_Africa-2	144BF/2007	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	0
EU827276	1575	AL_Africa-2	144BF/2007	Burkina Faso	2007	Canis familiaris	AL_Africa-2	G	0
EU827277	1575	AL_Africa-2	247NIG/2007	Niger	2007	Canis familiaris	AL_Africa-2	G	0
EU478497	1350	AL_Africa-2	9BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	0
EU478498	1350	AL_Africa-2	12BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	0
EU478502	1350	AL_Africa-2	36BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	4700
EU478504	1350	AL_Africa-2	43BF	Burkina Faso	2007	Felis catus	AL_Africa-2	N	4655
EU478508	1350	AL_Africa-2	69BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	0
EU478509	1350	AL_Africa-2	82BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	0
EU478511	1350	AL_Africa-2	105BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	0
EU478512	1350	AL_Africa-2	112BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	4678
EU478513	1350	AL_Africa-2	114BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	4673
EU478518	1350	AL_Africa-2	49BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	4698
EU478519	1350	AL_Africa-2	87BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	4665
EU478524	1350	AL_Africa-2	142BF	Burkina Faso	2007	Canis familiaris	AL_Africa-2	N	0
EU514571	1350	AL_Africa-2	246NIG/07	Niger	2007	Canis familiaris	AL_Africa-2	N	0
EU514572	1353	AL_Africa-2	247NIG/07	Niger	2007	Canis familiaris	AL_Africa-2	N	0
EU514574	1350	AL_Africa-2	252NIG/07	Niger	2007	Canis familiaris	AL_Africa-2	N	4677
EU514578	1353	AL_Africa-2	1929MAU/06	Mauritania	2006	Canis familiaris	AL_Africa-2	N	4779
EU514581	1350	AL_Africa-2	2049MAU/07	Mauritania	2007	Canis familiaris	AL_Africa-2	N	0
EU099925	763	AL_Cosmopolitan_AF1b	SPU35/06	South Africa	2006	18258039	Cosmopolitan_Clade	G	7591
EU296442	282	AL_Cosmopolitan_AF1b	A04-5087	Tanzania	2004	Canis familiaris	Cosmopolitan_Clade	N	0
EU296444	282	AL_Cosmopolitan_AF1b	SD55	Tanzania	2005	Bos taurus	Cosmopolitan_Clade	N	0
EU296446	282	AL_Cosmopolitan_AF1b	SD53	Tanzania	2005	small-spotted genet	Cosmopolitan_Clade	N	5233
EU718771	1350	AL_Africa-2	Chad2006_60	Chad	2006	Canis familiaris	AL_Africa-2	N	4388
EU718783	1350	AL_Africa-2	Chad2006_45	Chad	2006	Canis familiaris	AL_Africa-2	N	0
EU718786	1350	AL_Africa-2	Chad2006_42	Chad	2006	Canis familiaris	AL_Africa-2	N	4291
EU293111	11925	AL_Asian_SEA3	8764THA	Thailand	1983	Homo sapiens	Asian_Clade	WGS	4194
EU038108	1350	AL_Africa-2	RD128	Nigeria	2006	Canis familiaris	AL_Africa-2	N	4255
DQ900547	1344	AL_Cosmopolitan_AF1b	78	Tanzania	1996	Canis familiaris	Cosmopolitan_Clade	N	6592
DQ900550	1335	AL_Cosmopolitan_AF1b	RV756	Tanzania	1997	Canis familiaris	Cosmopolitan_Clade	N	0
DQ900551	1212	AL_Cosmopolitan_AF1b	RV758	Tanzania	1997	Canis familiaris	Cosmopolitan_Clade	N	0
DQ900552	1341	AL_Cosmopolitan_AF1b	RV759	Tanzania	1997	Canis familiaris	Cosmopolitan_Clade	N	0
DQ900554	1350	AL_Cosmopolitan_AF1b	RV762	Tanzania	1998	Canis familiaris	Cosmopolitan_Clade	N	0
DQ900561	1332	AL_Cosmopolitan_AF1b	39	Tanzania	1994	Vulpes vulpes	Cosmopolitan_Clade	N	6558
DQ900562	1275	AL_Cosmopolitan_AF1b	74	Tanzania	1996	Vulpes vulpes	Cosmopolitan_Clade	N	6560
DQ900566	1158	AL_Cosmopolitan_AF1b	RV853	Tanzania	2000	Crocuta crocuta	Cosmopolitan_Clade	N	0
DQ900569	1350	AL_Cosmopolitan_AF1b	Cc4/04	Tanzania	2004	Crocuta crocuta	Cosmopolitan_Clade	N	6579
DQ900571	398	AL_Cosmopolitan_AF1b	78	Tanzania	1996	Canis familiaris	Cosmopolitan_Clade	G	0
DQ900573	398	AL_Cosmopolitan_AF1b	RV758	Tanzania	1997	Canis familiaris	Cosmopolitan_Clade	G	0
DQ900574	398	AL_Cosmopolitan_AF1b	RV761	Tanzania	1998	Canis familiaris	Cosmopolitan_Clade	G	0
DQ900576	398	AL_Cosmopolitan_AF1b	74	Tanzania	1996	Vulpes vulpes	Cosmopolitan_Clade	G	6566
DQ900579	398	AL_Cosmopolitan_AF1b	A04-4981	Tanzania	2003	small-spotted genet	Cosmopolitan_Clade	G	6554
DQ489810	405	AL_Cosmopolitan_AF1b	RV1451	South Africa	2000	Vulpes vulpes	Cosmopolitan_Clade	N	0
DQ489824	405	AL_Cosmopolitan_AF1b	RV1471	South Africa	2002	Vulpes vulpes	Cosmopolitan_Clade	N	7349
DQ489887	405	AL_Cosmopolitan_AF1b	RV1937	South Africa	2003	Canis familiaris	Cosmopolitan_Clade	N	7687
DQ489888	405	AL_Cosmopolitan_AF1b	RV1939	South Africa	2003	Canis familiaris	Cosmopolitan_Clade	N	7684
DQ489896	405	AL_Cosmopolitan_AF1b	RV1950	South Africa	2005	Bos taurus	Cosmopolitan_Clade	N	0
DQ489900	405	AL_Cosmopolitan_AF1b	RV1955	South Africa	2005	Vulpes vulpes	Cosmopolitan_Clade	N	7275
DQ194863	400	AL_Cosmopolitan_AF1b	RV1496	Namibia	2003	kudu	Cosmopolitan_Clade	N	0
DQ194867	400	AL_Cosmopolitan_AF1b	RV1500	Namibia	2000	jackal	Cosmopolitan_Clade	N	7413
DQ194873	400	AL_Cosmopolitan_AF1b	RV1506	Namibia	2003	jackal	Cosmopolitan_Clade	N	7421
DQ194875	400	AL_Cosmopolitan_AF1b	RV1508	Namibia	2003	jackal	Cosmopolitan_Clade	N	0
DQ194880	400	AL_Cosmopolitan_AF1b	RV1514	Namibia	2003	Canis familiaris	Cosmopolitan_Clade	N	0
DQ194881	400	AL_Cosmopolitan_AF1b	RV1516	Namibia	2003	Canis familiaris	Cosmopolitan_Clade	N	7435
DQ194882	400	AL_Cosmopolitan_AF1b	RV1517	Namibia	2003	Canis familiaris	Cosmopolitan_Clade	N	0
DQ194884	400	AL_Cosmopolitan_AF1b	RV1519	Namibia	2003	hyena	Cosmopolitan_Clade	N	7416
DQ194890	400	AL_Cosmopolitan_AF1b	RV1875	Namibia	1980	Canis familiaris	Cosmopolitan_Clade	N	7496
DQ194896	400	AL_Africa-3	RV1818	South Africa	1990	Vulpes vulpes	AL_Africa-3	N	4958
DQ194900	400	AL_Cosmopolitan_AF1b	RV1841	South Africa	1980	jackal	Cosmopolitan_Clade	N	0
DQ194903	400	AL_Cosmopolitan_AF1b	RV135	South Africa	1980	kudu	Cosmopolitan_Clade	N	0
DQ275560	930	AL_Africa-2	V827	Chad	2001	Canis familiaris	AL_Africa-2	P	4445
AY854666	414	AL_Cosmopolitan_AF1a		Morocco	1990	Homo sapiens	Cosmopolitan_Clade	L	6103
AY605005	593	AL_Cosmopolitan_AF1b	equ646	Zimbabwe	2003	15991708	Cosmopolitan_Clade	G	0
AY605006	593	AL_Cosmopolitan_AF1b	j19649	Zimbabwe	1991	15991708	Cosmopolitan_Clade	G	7650
AY605014	592	AL_Cosmopolitan_AF1b	lion29263	Zimbabwe	2003	15991708	Cosmopolitan_Clade	G	0
AY605038	592	AL_Cosmopolitan_AF1b	j28522	Zimbabwe	2002	15991708	Cosmopolitan_Clade	G	0
AY605039	593	AL_Cosmopolitan_AF1b	j27890	Zimbabwe	2001	15991708	Cosmopolitan_Clade	G	0
AY605041	592	AL_Cosmopolitan_AF1b	j28498	Zimbabwe	2002	15991708	Cosmopolitan_Clade	G	0
AY502137	400	AL_Cosmopolitan_AF1b	RV749	Kenya	1995	-	Cosmopolitan_Clade	N	0
AF325479	2091	AL_Cosmopolitan_AF1b	NGA1-HM	Nigeria	1983	Homo sapiens	Cosmopolitan_Clade	G	0
